60467,"Orland Park, IL 60467, USA",63855,"Hornersville, MO 63855, USA",729862,41.5722604,-87.8845834,36.0685609,-90.1002929,16
63855,"Hornersville, MO 63855, USA",63845,"East Prairie, MO 63845, USA",140418,36.0685609,-90.1002929,36.7366907,-89.28312559999999,12
63845,"East Prairie, MO 63845, USA",41129,"Catlettsburg, KY 41129, USA",689014,36.7366907,-89.28312559999999,38.31599629999999,-82.6278832,37
41129,"Catlettsburg, KY 41129, USA",57532,"Fort Pierre, SD 57532, USA",1985811,38.31599629999999,-82.6278832,44.4256374,-100.722777,37
57532,"Fort Pierre, SD 57532, USA",53081,"Sheboygan, WI 53081, USA",1188828,44.4256374,-100.722777,43.7019552,-87.7271662,18
32713,"DeBary, FL 32713, USA",38849,"Guntown, MS 38849, USA",1107621,28.8827915,-81.3179431,34.4660532,-88.6875311,28
38849,"Guntown, MS 38849, USA",32940,"Melbourne, FL 32940, USA",1216215,34.4660532,-88.6875311,28.2081692,-80.8108343,31
32940,"Melbourne, FL 32940, USA",54843,"Hayward, WI 54843, USA",2628575,28.2081692,-80.8108343,46.0110602,-91.29538409999999,48
54843,"Hayward, WI 54843, USA",39744,"Eupora, MS 39744, USA",1726871,46.0110602,-91.29538409999999,33.590121,-89.29649959999999,30
39744,"Eupora, MS 39744, USA",97810,"Adams, OR 97810, USA",3532974,33.590121,-89.29649959999999,45.6990504,-118.3705486,48
97810,"Adams, OR 97810, USA",49254,"Michigan Center, MI 49254, USA",3415941,45.6990504,-118.3705486,42.2292578,-84.327736,20
49254,"Michigan Center, MI 49254, USA",31606,"Valdosta, GA 31606, USA",1510297,42.2292578,-84.327736,30.7978253,-83.1972179,41
31606,"Valdosta, GA 31606, USA",01522,"JEFFERSON, MA 01522, USA",1866591,30.7978253,-83.1972179,42.3827095,-71.86885079999999,47
01522,"JEFFERSON, MA 01522, USA",22747,"Washington, VA 22747, USA",766560,42.3827095,-71.86885079999999,38.7134672,-78.1593783,42
62947,"Herod, IL 62947, USA",97341,"Depoe Bay, OR 97341, USA",3686310,37.5541013,-88.4238197,44.8121066,-124.0419768,41
97341,"Depoe Bay, OR 97341, USA",26301,"Clarksburg, WV 26301, USA",4329874,44.8121066,-124.0419768,39.2785386,-80.4326088,43
